 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Aluminum in  H- O.txt

 Ion = Aluminum [13] , Mass = 26,982 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 keV   1,115E+01  2,015E+02      64 A        26 A        19 A   
   1,20 keV   1,165E+01  2,063E+02      67 A        27 A        20 A   
   1,30 keV   1,213E+01  2,107E+02      71 A        29 A        21 A   
   1,40 keV   1,258E+01  2,147E+02      74 A        30 A        22 A   
   1,50 keV   1,303E+01  2,184E+02      78 A        31 A        23 A   
   1,60 keV   1,345E+01  2,218E+02      81 A        32 A        24 A   
   1,70 keV   1,387E+01  2,250E+02      84 A        33 A        25 A   
   1,80 keV   1,427E+01  2,280E+02      88 A        34 A        26 A   
   2,00 keV   1,504E+01  2,333E+02      94 A        36 A        27 A   
   2,25 keV   1,595E+01  2,391E+02     102 A        39 A        29 A   
   2,50 keV   1,682E+01  2,440E+02     109 A        41 A        31 A   
   2,75 keV   1,764E+01  2,483E+02     117 A        44 A        33 A   
   3,00 keV   1,842E+01  2,521E+02     124 A        46 A        35 A   
   3,25 keV   1,917E+01  2,554E+02     132 A        48 A        37 A   
   3,50 keV   1,990E+01  2,583E+02     139 A        51 A        38 A   
   3,75 keV   2,060E+01  2,609E+02     146 A        53 A        40 A   
   4,00 keV   2,127E+01  2,632E+02     153 A        55 A        42 A   
   4,50 keV   2,256E+01  2,670E+02     167 A        60 A        45 A   
   5,00 keV   2,378E+01  2,701E+02     181 A        64 A        48 A   
