 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- O.txt

 Ion = Boron [5] , Mass = 11,009 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,417E+01  8,787E+01      87 A        43 A        31 A   
   1,10 keV   1,486E+01  8,856E+01      94 A        46 A        33 A   
   1,20 keV   1,552E+01  8,910E+01     100 A        49 A        36 A   
   1,30 keV   1,616E+01  8,951E+01     107 A        51 A        38 A   
   1,40 keV   1,677E+01  8,981E+01     114 A        54 A        40 A   
   1,50 keV   1,735E+01  9,002E+01     120 A        57 A        42 A   
   1,60 keV   1,792E+01  9,016E+01     127 A        60 A        44 A   
   1,70 keV   1,848E+01  9,024E+01     134 A        63 A        46 A   
   1,80 keV   1,901E+01  9,026E+01     140 A        65 A        48 A   
   2,00 keV   2,004E+01  9,017E+01     153 A        71 A        51 A   
   2,25 keV   2,125E+01  8,987E+01     170 A        77 A        56 A   
   2,50 keV   2,240E+01  8,942E+01     186 A        84 A        61 A   
   2,75 keV   2,350E+01  8,886E+01     203 A        90 A        65 A   
   3,00 keV   2,454E+01  8,822E+01     219 A        97 A        70 A   
   3,25 keV   2,555E+01  8,753E+01     236 A       103 A        74 A   
   3,50 keV   2,651E+01  8,680E+01     252 A       109 A        79 A   
   3,75 keV   2,744E+01  8,605E+01     269 A       116 A        83 A   
   4,00 keV   2,834E+01  8,528E+01     286 A       122 A        88 A   
   4,50 keV   3,006E+01  8,371E+01     319 A       134 A        96 A   
