 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- O.txt

 Ion = Beryllium [4] , Mass = 9,012 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 keV   1,006E+01  6,835E+01     112 A        57 A        42 A   
   1,20 keV   1,051E+01  6,841E+01     120 A        61 A        45 A   
   1,30 keV   1,094E+01  6,839E+01     129 A        65 A        47 A   
   1,40 keV   1,135E+01  6,831E+01     138 A        69 A        50 A   
   1,50 keV   1,175E+01  6,817E+01     146 A        73 A        53 A   
   1,60 keV   1,213E+01  6,799E+01     155 A        77 A        55 A   
   1,70 keV   1,250E+01  6,778E+01     164 A        81 A        58 A   
   1,80 keV   1,287E+01  6,754E+01     172 A        85 A        61 A   
   2,00 keV   1,356E+01  6,700E+01     190 A        92 A        66 A   
   2,25 keV   1,439E+01  6,623E+01     212 A       102 A        73 A   
   2,50 keV   1,516E+01  6,541E+01     234 A       111 A        79 A   
   2,75 keV   1,590E+01  6,456E+01     256 A       120 A        86 A   
   3,00 keV   1,661E+01  6,370E+01     278 A       130 A        92 A   
   3,25 keV   1,729E+01  6,283E+01     301 A       139 A        99 A   
   3,50 keV   1,794E+01  6,197E+01     324 A       148 A       105 A   
   3,75 keV   1,857E+01  6,111E+01     347 A       157 A       112 A   
   4,00 keV   1,918E+01  6,028E+01     370 A       166 A       118 A   
   4,50 keV   2,035E+01  5,865E+01     417 A       185 A       131 A   
   5,00 keV   2,145E+01  5,710E+01     464 A       203 A       144 A   
