 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- O.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,495E+01  1,037E+02      78 A        38 A        28 A   
   1,10 keV   1,568E+01  1,048E+02      84 A        41 A        30 A   
   1,20 keV   1,638E+01  1,058E+02      89 A        43 A        32 A   
   1,30 keV   1,705E+01  1,066E+02      95 A        45 A        33 A   
   1,40 keV   1,769E+01  1,073E+02     101 A        48 A        35 A   
   1,50 keV   1,831E+01  1,078E+02     107 A        50 A        37 A   
   1,60 keV   1,892E+01  1,083E+02     112 A        53 A        38 A   
   1,70 keV   1,950E+01  1,086E+02     118 A        55 A        40 A   
   1,80 keV   2,006E+01  1,089E+02     123 A        57 A        42 A   
   2,00 keV   2,115E+01  1,093E+02     135 A        62 A        45 A   
   2,25 keV   2,243E+01  1,095E+02     149 A        67 A        49 A   
   2,50 keV   2,364E+01  1,095E+02     162 A        73 A        53 A   
   2,75 keV   2,480E+01  1,093E+02     176 A        78 A        57 A   
   3,00 keV   2,590E+01  1,089E+02     190 A        84 A        61 A   
   3,25 keV   2,696E+01  1,085E+02     204 A        89 A        64 A   
   3,50 keV   2,798E+01  1,080E+02     218 A        94 A        68 A   
   3,75 keV   2,896E+01  1,074E+02     231 A        99 A        72 A   
   4,00 keV   2,991E+01  1,068E+02     245 A       105 A        75 A   
   4,50 keV   3,172E+01  1,055E+02     273 A       115 A        83 A   
