 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Fluorine in  H- O.txt

 Ion = Fluorine [9] , Mass = 18,998 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 keV   1,332E+01  1,551E+02      70 A        31 A        23 A   
   1,20 keV   1,391E+01  1,578E+02      75 A        33 A        24 A   
   1,30 keV   1,448E+01  1,602E+02      79 A        34 A        25 A   
   1,40 keV   1,503E+01  1,624E+02      83 A        36 A        27 A   
   1,50 keV   1,555E+01  1,644E+02      88 A        37 A        28 A   
   1,60 keV   1,607E+01  1,662E+02      92 A        39 A        29 A   
   1,70 keV   1,656E+01  1,678E+02      96 A        41 A        30 A   
   1,80 keV   1,704E+01  1,693E+02     100 A        42 A        31 A   
   2,00 keV   1,796E+01  1,718E+02     108 A        45 A        33 A   
   2,25 keV   1,905E+01  1,744E+02     118 A        49 A        36 A   
   2,50 keV   2,008E+01  1,765E+02     128 A        52 A        39 A   
   2,75 keV   2,106E+01  1,782E+02     137 A        56 A        41 A   
   3,00 keV   2,200E+01  1,795E+02     147 A        59 A        44 A   
   3,25 keV   2,290E+01  1,806E+02     157 A        62 A        46 A   
   3,50 keV   2,376E+01  1,814E+02     166 A        66 A        48 A   
   3,75 keV   2,460E+01  1,821E+02     176 A        69 A        51 A   
   4,00 keV   2,540E+01  1,826E+02     185 A        72 A        53 A   
   4,50 keV   2,694E+01  1,832E+02     204 A        78 A        58 A   
   5,00 keV   2,840E+01  1,834E+02     223 A        85 A        62 A   
