 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- O.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,447E+01  3,364E+00     342 A       217 A       178 A   
   1,10 keV   1,518E+01  3,220E+00     375 A       232 A       191 A   
   1,20 keV   1,586E+01  3,091E+00     407 A       246 A       204 A   
   1,30 keV   1,650E+01  2,974E+00     439 A       259 A       216 A   
   1,40 keV   1,713E+01  2,868E+00     471 A       272 A       228 A   
   1,50 keV   1,773E+01  2,770E+00     503 A       284 A       239 A   
   1,60 keV   1,831E+01  2,680E+00     534 A       296 A       250 A   
   1,70 keV   1,887E+01  2,597E+00     565 A       307 A       261 A   
   1,80 keV   1,942E+01  2,521E+00     596 A       318 A       271 A   
   2,00 keV   2,047E+01  2,382E+00     657 A       338 A       291 A   
   2,25 keV   2,155E+01  2,233E+00     732 A       361 A       315 A   
   2,50 keV   2,256E+01  2,104E+00     805 A       383 A       337 A   
   2,75 keV   2,353E+01  1,992E+00     878 A       403 A       358 A   
   3,00 keV   2,446E+01  1,893E+00     950 A       422 A       378 A   
   3,25 keV   2,535E+01  1,805E+00    1021 A       439 A       398 A   
   3,50 keV   2,621E+01  1,726E+00    1090 A       456 A       416 A   
   3,75 keV   2,705E+01  1,655E+00    1159 A       471 A       433 A   
   4,00 keV   2,786E+01  1,590E+00    1227 A       486 A       450 A   
   4,50 keV   2,941E+01  1,477E+00    1359 A       513 A       482 A   
