 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- O.txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 keV   1,066E+01  2,250E+01     204 A       119 A        90 A   
   1,20 keV   1,114E+01  2,206E+01     222 A       128 A        97 A   
   1,30 keV   1,159E+01  2,164E+01     241 A       138 A       104 A   
   1,40 keV   1,203E+01  2,123E+01     259 A       147 A       111 A   
   1,50 keV   1,245E+01  2,083E+01     278 A       156 A       118 A   
   1,60 keV   1,286E+01  2,046E+01     297 A       165 A       126 A   
   1,70 keV   1,326E+01  2,010E+01     316 A       174 A       133 A   
   1,80 keV   1,364E+01  1,975E+01     335 A       183 A       140 A   
   2,00 keV   1,438E+01  1,909E+01     374 A       201 A       154 A   
   2,25 keV   1,525E+01  1,834E+01     422 A       222 A       172 A   
   2,50 keV   1,608E+01  1,766E+01     472 A       244 A       189 A   
   2,75 keV   1,686E+01  1,703E+01     521 A       265 A       206 A   
   3,00 keV   1,761E+01  1,646E+01     571 A       285 A       224 A   
   3,25 keV   1,833E+01  1,593E+01     621 A       305 A       241 A   
   3,50 keV   1,902E+01  1,544E+01     671 A       325 A       258 A   
   3,75 keV   1,969E+01  1,498E+01     722 A       344 A       274 A   
   4,00 keV   2,034E+01  1,456E+01     772 A       363 A       291 A   
   4,50 keV   2,157E+01  1,379E+01     874 A       399 A       323 A   
   5,00 keV   2,274E+01  1,311E+01     975 A       434 A       355 A   
