 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in  H- O.txt

 Ion = Lithium [3] , Mass = 7,016 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 keV   7,565E+00  4,708E+01     143 A        77 A        56 A   
   1,20 keV   7,901E+00  4,678E+01     155 A        83 A        60 A   
   1,30 keV   8,224E+00  4,644E+01     167 A        89 A        64 A   
   1,40 keV   8,534E+00  4,609E+01     179 A        95 A        68 A   
   1,50 keV   8,834E+00  4,572E+01     191 A       100 A        72 A   
   1,60 keV   9,123E+00  4,534E+01     203 A       106 A        77 A   
   1,70 keV   9,404E+00  4,495E+01     216 A       112 A        81 A   
   1,80 keV   9,677E+00  4,456E+01     228 A       118 A        85 A   
   2,00 keV   1,020E+01  4,377E+01     253 A       129 A        93 A   
   2,25 keV   1,082E+01  4,281E+01     285 A       144 A       103 A   
   2,50 keV   1,140E+01  4,186E+01     317 A       158 A       113 A   
   2,75 keV   1,196E+01  4,095E+01     350 A       172 A       124 A   
   3,00 keV   1,249E+01  4,007E+01     383 A       187 A       134 A   
   3,25 keV   1,300E+01  3,922E+01     417 A       201 A       144 A   
   3,50 keV   1,349E+01  3,842E+01     451 A       215 A       155 A   
   3,75 keV   1,397E+01  3,764E+01     485 A       229 A       165 A   
   4,00 keV   1,443E+01  3,690E+01     520 A       244 A       176 A   
   4,50 keV   1,530E+01  3,551E+01     590 A       272 A       197 A   
   5,00 keV   1,613E+01  3,424E+01     662 A       300 A       219 A   
