 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Magnesium in  H- O.txt

 Ion = Magnesium [12] , Mass = 23,985 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 keV   9,470E+00  1,907E+02      65 A        27 A        20 A   
   1,20 keV   9,892E+00  1,950E+02      69 A        29 A        21 A   
   1,30 keV   1,030E+01  1,988E+02      72 A        30 A        22 A   
   1,40 keV   1,068E+01  2,024E+02      76 A        31 A        23 A   
   1,50 keV   1,106E+01  2,056E+02      79 A        33 A        24 A   
   1,60 keV   1,142E+01  2,086E+02      83 A        34 A        25 A   
   1,70 keV   1,177E+01  2,113E+02      86 A        35 A        26 A   
   1,80 keV   1,211E+01  2,138E+02      90 A        36 A        27 A   
   2,00 keV   1,277E+01  2,184E+02      96 A        39 A        29 A   
   2,25 keV   1,354E+01  2,233E+02     105 A        41 A        31 A   
   2,50 keV   1,428E+01  2,274E+02     113 A        44 A        33 A   
   2,75 keV   1,497E+01  2,310E+02     121 A        47 A        35 A   
   3,00 keV   1,564E+01  2,340E+02     129 A        50 A        37 A   
   3,25 keV   1,628E+01  2,367E+02     137 A        52 A        39 A   
   3,50 keV   1,689E+01  2,390E+02     144 A        55 A        41 A   
   3,75 keV   1,749E+01  2,410E+02     152 A        57 A        43 A   
   4,00 keV   1,806E+01  2,427E+02     160 A        60 A        45 A   
   4,50 keV   1,916E+01  2,456E+02     175 A        65 A        48 A   
   5,00 keV   2,019E+01  2,478E+02     190 A        70 A        52 A   
