 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- O.txt

 Ion = Nitrogen [7] , Mass = 14,003 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,611E+01  1,207E+02      72 A        34 A        25 A   
   1,10 keV   1,690E+01  1,225E+02      77 A        36 A        27 A   
   1,20 keV   1,765E+01  1,241E+02      82 A        38 A        28 A   
   1,30 keV   1,837E+01  1,254E+02      87 A        40 A        30 A   
   1,40 keV   1,906E+01  1,265E+02      92 A        42 A        31 A   
   1,50 keV   1,973E+01  1,275E+02      97 A        44 A        33 A   
   1,60 keV   2,038E+01  1,284E+02     102 A        46 A        34 A   
   1,70 keV   2,101E+01  1,291E+02     107 A        48 A        35 A   
   1,80 keV   2,162E+01  1,298E+02     112 A        50 A        37 A   
   2,00 keV   2,278E+01  1,308E+02     121 A        54 A        39 A   
   2,25 keV   2,417E+01  1,317E+02     133 A        58 A        43 A   
   2,50 keV   2,547E+01  1,323E+02     145 A        63 A        46 A   
   2,75 keV   2,672E+01  1,326E+02     157 A        67 A        49 A   
   3,00 keV   2,791E+01  1,327E+02     169 A        72 A        52 A   
   3,25 keV   2,905E+01  1,327E+02     181 A        76 A        56 A   
   3,50 keV   3,014E+01  1,326E+02     192 A        81 A        59 A   
   3,75 keV   3,120E+01  1,323E+02     204 A        85 A        62 A   
   4,00 keV   3,222E+01  1,320E+02     216 A        89 A        65 A   
   4,50 keV   3,418E+01  1,311E+02     239 A        97 A        71 A   
