 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Sodium in  H- O.txt

 Ion = Sodium [11] , Mass = 22,99 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 keV   1,101E+01  1,804E+02      67 A        28 A        21 A   
   1,20 keV   1,150E+01  1,842E+02      70 A        30 A        22 A   
   1,30 keV   1,197E+01  1,877E+02      74 A        31 A        23 A   
   1,40 keV   1,242E+01  1,908E+02      78 A        32 A        24 A   
   1,50 keV   1,285E+01  1,937E+02      82 A        34 A        25 A   
   1,60 keV   1,327E+01  1,963E+02      85 A        35 A        26 A   
   1,70 keV   1,368E+01  1,987E+02      89 A        36 A        27 A   
   1,80 keV   1,408E+01  2,009E+02      93 A        38 A        28 A   
   2,00 keV   1,484E+01  2,049E+02     100 A        40 A        30 A   
   2,25 keV   1,574E+01  2,091E+02     108 A        43 A        32 A   
   2,50 keV   1,659E+01  2,126E+02     117 A        46 A        34 A   
   2,75 keV   1,740E+01  2,156E+02     125 A        49 A        36 A   
   3,00 keV   1,818E+01  2,181E+02     134 A        52 A        39 A   
   3,25 keV   1,892E+01  2,203E+02     142 A        54 A        41 A   
   3,50 keV   1,963E+01  2,222E+02     150 A        57 A        43 A   
   3,75 keV   2,032E+01  2,238E+02     158 A        60 A        45 A   
   4,00 keV   2,099E+01  2,252E+02     167 A        62 A        47 A   
   4,50 keV   2,226E+01  2,274E+02     183 A        68 A        50 A   
   5,00 keV   2,347E+01  2,289E+02     199 A        73 A        54 A   
