 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in  H- O.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,139E+01  1,635E+02      64 A        28 A        21 A   
   1,10 keV   1,194E+01  1,671E+02      68 A        30 A        22 A   
   1,20 keV   1,247E+01  1,703E+02      72 A        31 A        23 A   
   1,30 keV   1,298E+01  1,732E+02      76 A        33 A        24 A   
   1,40 keV   1,347E+01  1,758E+02      80 A        34 A        25 A   
   1,50 keV   1,395E+01  1,781E+02      84 A        36 A        27 A   
   1,60 keV   1,440E+01  1,803E+02      88 A        37 A        28 A   
   1,70 keV   1,485E+01  1,822E+02      91 A        39 A        29 A   
   1,80 keV   1,528E+01  1,840E+02      95 A        40 A        30 A   
   2,00 keV   1,610E+01  1,872E+02     103 A        43 A        32 A   
   2,25 keV   1,708E+01  1,904E+02     112 A        46 A        34 A   
   2,50 keV   1,801E+01  1,931E+02     121 A        49 A        37 A   
   2,75 keV   1,888E+01  1,953E+02     130 A        53 A        39 A   
   3,00 keV   1,972E+01  1,972E+02     139 A        56 A        41 A   
   3,25 keV   2,053E+01  1,987E+02     148 A        59 A        44 A   
   3,50 keV   2,130E+01  2,000E+02     157 A        62 A        46 A   
   3,75 keV   2,205E+01  2,010E+02     166 A        65 A        48 A   
   4,00 keV   2,278E+01  2,019E+02     175 A        68 A        50 A   
   4,50 keV   2,416E+01  2,031E+02     192 A        74 A        54 A   
