 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,521E+01  1,363E+02      68 A        31 A        23 A   
   1,10 keV   1,595E+01  1,387E+02      73 A        33 A        25 A   
   1,20 keV   1,666E+01  1,408E+02      77 A        35 A        26 A   
   1,30 keV   1,734E+01  1,427E+02      82 A        37 A        27 A   
   1,40 keV   1,800E+01  1,443E+02      86 A        39 A        29 A   
   1,50 keV   1,863E+01  1,457E+02      91 A        40 A        30 A   
   1,60 keV   1,924E+01  1,470E+02      95 A        42 A        31 A   
   1,70 keV   1,983E+01  1,482E+02     100 A        44 A        32 A   
   1,80 keV   2,041E+01  1,492E+02     104 A        46 A        34 A   
   2,00 keV   2,151E+01  1,509E+02     113 A        49 A        36 A   
   2,25 keV   2,282E+01  1,526E+02     124 A        53 A        39 A   
   2,50 keV   2,405E+01  1,538E+02     134 A        57 A        42 A   
   2,75 keV   2,523E+01  1,548E+02     145 A        61 A        45 A   
   3,00 keV   2,635E+01  1,554E+02     155 A        65 A        47 A   
   3,25 keV   2,742E+01  1,559E+02     166 A        68 A        50 A   
   3,50 keV   2,846E+01  1,562E+02     176 A        72 A        53 A   
   3,75 keV   2,946E+01  1,563E+02     187 A        76 A        55 A   
   4,00 keV   3,042E+01  1,563E+02     197 A        80 A        58 A   
   4,50 keV   3,227E+01  1,561E+02     218 A        87 A        63 A   
