 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> cervenec 12, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in  H- O.txt

 Ion = Silicon [14] , Mass = 27,977 amu

 Target Density =  1,0000E+00 g/cm3 = 1,0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066,67    011,19   
      O      8    033,33    088,81   
 ====================================
 Bragg Correction = -6,00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1,10 keV   1,745E+01  2,103E+02      61 A        25 A        18 A   
   1,20 keV   1,822E+01  2,156E+02      65 A        26 A        19 A   
   1,30 keV   1,897E+01  2,203E+02      68 A        27 A        20 A   
   1,40 keV   1,968E+01  2,247E+02      71 A        28 A        21 A   
   1,50 keV   2,037E+01  2,288E+02      74 A        29 A        22 A   
   1,60 keV   2,104E+01  2,325E+02      77 A        30 A        23 A   
   1,70 keV   2,169E+01  2,360E+02      80 A        31 A        23 A   
   1,80 keV   2,232E+01  2,393E+02      84 A        32 A        24 A   
   2,00 keV   2,353E+01  2,452E+02      89 A        34 A        26 A   
   2,25 keV   2,495E+01  2,516E+02      97 A        36 A        27 A   
   2,50 keV   2,630E+01  2,572E+02     104 A        39 A        29 A   
   2,75 keV   2,759E+01  2,620E+02     111 A        41 A        31 A   
   3,00 keV   2,881E+01  2,663E+02     118 A        43 A        33 A   
   3,25 keV   2,999E+01  2,700E+02     124 A        45 A        34 A   
   3,50 keV   3,112E+01  2,734E+02     131 A        47 A        36 A   
   3,75 keV   3,221E+01  2,764E+02     138 A        49 A        37 A   
   4,00 keV   3,327E+01  2,791E+02     144 A        51 A        39 A   
   4,50 keV   3,529E+01  2,836E+02     157 A        55 A        42 A   
   5,00 keV   3,720E+01  2,873E+02     170 A        59 A        45 A   
